10,4.5,111111
15,3.8,111112
-5,4.9,111113
12,5.1,111114
18,3.5,11115
11,4.7,111116abc
14,,111117
,4.0,111118
21,4.1,999999
22,3.7,100000
abc,4.8,111123
25,4.8,111124.5
23,4.4,111125
24,3.6,
26,4.2,111126
27,4.0,111127
28,3.9,111128xyz
29,4.5,000000
30,4.1,111130
31,3.8,111131
32,4.7,
33,4.3,111133
34,4.6,111134abc
35,3.7,111135
36,4.4,111136
37,4.2,111137
38,4.0,111138
39,3.9,111139
40,4.8,111140
41,4.1,111141
42,3.5,111142
43,4.9,111143
44,4.2,111144
45,3.8,111145
46,4.7,111146
47,4.0,111147
48,4.3,111148
49,3.9,111149
50,4.6,111150
, ,
51,5.5,111151
52,-0.5,111152
53,4.8,111153xyz
54,4.4,111154
55,3.6,111155
56,4.2,111156
57,4.0,111157
58,3.9,111158
59,4.5,111159
60,4.1,111160
